Attack,AttackIntensity,Distance,Stations,PayloadSize,LoadFactor,MCS,ChannelWidth,GI,Throughput,TxPackets,RxPackets,LostPackets,PacketLossRate,Delay,Jitter
occupancy,low,20,2,700,1,3,160,3200,166.274,520837,296918,213117,40.9182,636,0
occupancy,low,20,2,700,1,7,20,800,62.0099,236957,110732,115504,48.7447,1368,0
occupancy,low,20,2,700,1,7,20,3200,52.6882,213915,94086,109095,50.9992,1563,0
occupancy,low,20,2,700,1,7,80,800,55.7122,726711,99486,612772,84.3213,703,1
occupancy,low,20,2,700,1,7,80,3200,48.2983,630215,86247,528424,83.8482,777,1
occupancy,low,20,2,700,1,7,160,800,360.143,1370087,643113,1,7.29881e-05,0,0
occupancy,low,20,2,700,1,7,160,3200,306.121,1177067,546645,1,8.49569e-05,0,0
occupancy,low,20,2,700,1,11,20,800,71.6632,339373,127970,1,0.000294661,0,0
occupancy,low,20,2,700,1,11,20,3200,60.914,300969,108775,1,0.00033226,0,0
occupancy,low,20,2,700,1,11,80,800,300.131,1155663,535949,1,8.65304e-05,0,0
occupancy,low,20,2,700,1,11,80,3200,255.105,994787,455544,1,0.000100524,0,0
occupancy,low,20,2,700,1,11,160,800,600.222,2227877,1071825,1,4.48858e-05,0,0
occupancy,low,20,2,700,1,11,160,3200,510.231,1906321,911127,1,5.24571e-05,0,0
occupancy,low,1,10,700,1,3,20,800,28.2212,144783,50395,83627,57.7602,3427,35
occupancy,low,1,10,700,1,3,20,3200,23.9366,135573,42744,82051,60.5216,3396,44
occupancy,low,1,10,700,1,3,80,800,116.278,340693,207639,119518,35.0808,3698,1
occupancy,low,1,10,700,1,3,80,3200,99.7343,302083,178097,110848,36.6946,4228,9
occupancy,low,1,10,700,1,3,160,800,218.877,598043,390852,180474,30.1774,1977,0
occupancy,low,1,10,700,1,3,160,3200,189.235,520843,337920,158637,30.4577,2274,0
occupancy,low,1,10,700,1,7,20,800,70.8971,236963,126602,97895,41.3124,5157,12
occupancy,low,1,10,700,1,7,20,3200,60.2666,213923,107619,95485,44.6352,5166,13
occupancy,low,1,10,700,1,7,80,800,266.429,726723,475766,233240,32.0948,1632,0
occupancy,low,1,10,700,1,7,80,3200,231.175,630213,412813,189760,30.1105,1875,0
occupancy,low,1,10,700,1,7,160,800,467.859,1370103,835462,509906,37.2166,864,0
occupancy,low,1,10,700,1,7,160,3200,412.579,1177083,736749,417810,35.4954,1001,0
occupancy,low,1,10,700,1,11,20,800,115.726,339373,206654,119160,35.1118,3716,1
occupancy,low,1,10,700,1,11,20,3200,99.2426,300973,177219,110583,36.7418,4248,10
occupancy,low,1,10,700,1,11,80,800,404.415,1155643,722169,411154,35.5779,1021,0
occupancy,low,1,10,700,1,11,80,3200,354.885,994803,633723,340481,34.226,1185,0
occupancy,low,1,10,700,1,11,160,800,664.789,2227923,1187124,964188,43.2774,557,0
occupancy,low,1,10,700,1,11,160,3200,596.247,1906263,1064726,811247,42.5569,632,0
occupancy,low,20,10,700,1,3,20,800,28.2212,144783,50395,83627,57.7602,3427,35
occupancy,low,20,10,700,1,3,20,3200,23.9366,135573,42744,82051,60.5216,3396,44
occupancy,low,20,10,700,1,3,80,800,116.278,340693,207639,119518,35.0808,3698,1
occupancy,low,20,10,700,1,3,80,3200,99.7343,302083,178097,110848,36.6946,4228,9
occupancy,low,20,10,700,1,3,160,800,218.877,598043,390852,180474,30.1774,1977,0
occupancy,low,20,10,700,1,3,160,3200,189.235,520843,337920,158637,30.4577,2274,0
occupancy,low,20,10,700,1,7,20,800,70.8971,236963,126602,97895,41.3124,5157,12
occupancy,low,20,10,700,1,7,20,3200,60.2666,213923,107619,95485,44.6352,5166,13
occupancy,low,20,10,700,1,7,80,800,81.4089,726723,145373,548204,75.4351,2145,12
occupancy,low,20,10,700,1,7,80,3200,73.3449,630213,130973,462747,73.4271,2492,12
occupancy,low,20,10,700,1,7,160,800,352.838,1370103,630067,5,0.000364936,5,0
occupancy,low,20,10,700,1,7,160,3200,305.96,1177083,546358,5,0.000424779,5,0
occupancy,low,20,10,700,1,11,20,800,70.2134,339373,125381,5,0.00147331,5,0
occupancy,low,20,10,700,1,11,20,3200,59.6842,300973,106579,5,0.00166128,5,0
occupancy,low,20,10,700,1,11,80,800,294.033,1155643,525059,5,0.00043266,5,0
occupancy,low,20,10,700,1,11,80,3200,249.931,994803,446305,5,0.000502612,5,0
occupancy,low,20,10,700,1,11,160,800,588.045,2227923,1050081,5,0.000224424,5,0
occupancy,low,20,10,700,1,11,160,3200,509.957,1906263,910638,6,0.000314752,5,0
occupancy,low,1,20,700,1,3,20,800,28.826,144793,51475,82164,56.7458,3580,148
occupancy,low,1,20,700,1,3,20,3200,24.4294,135573,43624,80893,59.6675,3927,169
occupancy,low,1,20,700,1,3,80,800,113.872,340693,203342,121075,35.5379,6238,24
occupancy,low,1,20,700,1,3,80,3200,98.1635,302093,175292,112446,37.2223,5706,43
occupancy,low,1,20,700,1,3,160,800,206.889,598053,369445,209465,35.0245,4026,12
occupancy,low,1,20,700,1,3,160,3200,180.569,520833,322445,180435,34.6435,4663,22
occupancy,low,1,20,700,1,7,20,800,70.6933,236973,126238,94307,39.7965,3161,48
occupancy,low,1,20,700,1,7,20,3200,60.4218,213933,107896,93028,43.4846,3325,65
occupancy,low,1,20,700,1,7,80,800,247.468,726733,441907,263591,36.2707,3288,1
occupancy,low,1,20,700,1,7,80,3200,217.202,630213,387860,222658,35.3306,3817,3
occupancy,low,1,20,700,1,7,160,800,408.113,1370113,728774,603435,44.0427,1716,1
occupancy,low,1,20,700,1,7,160,3200,365.925,1177093,653438,489736,41.6055,1996,1
occupancy,low,1,20,700,1,11,20,800,113.44,339373,202572,120526,35.5143,6218,24
occupancy,low,1,20,700,1,11,20,3200,97.7721,300973,174593,112067,37.2349,5626,43
occupancy,low,1,20,700,1,11,80,800,360.683,1155653,644076,478158,41.3756,2038,1
occupancy,low,1,20,700,1,11,80,3200,321.131,994793,573448,390721,39.2766,2373,1
occupancy,low,1,20,700,1,11,160,800,553.115,2227953,987706,1152256,51.7181,1080,0
occupancy,low,1,20,700,1,11,160,3200,504.009,1906273,900016,938874,49.2518,1251,0
occupancy,low,20,20,700,1,3,20,800,28.826,144793,51475,82164,56.7458,3580,148
occupancy,low,20,20,700,1,3,20,3200,24.4294,135573,43624,80893,59.6675,3927,169
occupancy,low,20,20,700,1,3,80,800,113.85,340693,203304,121126,35.5528,6228,24
occupancy,low,20,20,700,1,3,80,3200,98.1635,302093,175292,112446,37.2223,5706,43
occupancy,low,20,20,700,1,3,160,800,206.889,598053,369445,209465,35.0245,4026,12
occupancy,low,20,20,700,1,3,160,3200,180.569,520833,322445,180435,34.6435,4663,22
occupancy,low,20,20,700,1,7,20,800,70.6933,236973,126238,94307,39.7965,3161,48
occupancy,low,20,20,700,1,7,20,3200,60.4218,213933,107896,93028,43.4846,3325,65
occupancy,low,20,20,700,1,7,80,800,71.0892,726733,126945,548901,75.5299,4398,50
occupancy,low,20,20,700,1,7,80,3200,68.1005,630213,121608,463335,73.5204,5004,52
occupancy,low,20,20,700,1,7,160,800,356.238,1370113,636140,10,0.000729867,20,0
occupancy,low,20,20,700,1,7,160,3200,302.801,1177093,540716,10,0.000849551,21,0
occupancy,low,20,20,700,1,11,20,800,70.8943,339373,126597,10,0.00294661,25,10
occupancy,low,20,20,700,1,11,20,3200,59.0414,300973,105431,10,0.00332256,23,10
occupancy,low,20,20,700,1,11,80,800,299.82,1155653,535392,10,0.000865312,20,0
occupancy,low,20,20,700,1,11,80,3200,247.185,994793,441401,10,0.00100523,23,0
